id,lat,lng,name,company,line,railroadDivision,railroadCompanyClassification,duplicate2011,dataEorN2011,passengers2011,duplicate2012,dataEorN2012,passengers2012,duplicate2013,dataEorN2013,passengers2013,duplicate2014,dataEorN2014,passengers2014,duplicate2015,dataEorN2015,passengers2015,duplicate2016,dataEorN2016,passengers2016,duplicate2017,dataEorN2017,passengers2017
cv9139,43.14468000,141.36414000,篠路,北海道旅客鉄道,札沼線,11,2,1,1,5168,1,1,5386,1,1,5678,1,1,5852,1,1,6036,1,1,6208,1,1,6278
cv9140,43.16145000,141.41370000,あいの里公園,北海道旅客鉄道,札沼線,11,2,1,1,3522,1,1,3730,1,1,3808,1,1,3436,1,3,0,1,3,0,1,3,0
cv9141,43.09895000,141.32404000,新川,北海道旅客鉄道,札沼線,11,2,1,1,5852,1,1,5904,1,1,6150,1,1,6228,1,1,6304,1,1,6506,1,1,6646
cv9142,43.30722000,141.60220000,中小屋,北海道旅客鉄道,札沼線,11,2,1,1,8,1,1,8,1,1,6,1,1,6,1,3,0,1,3,0,1,3,0
cv9143,43.19011000,141.44938000,石狩太美,北海道旅客鉄道,札沼線,11,2,1,1,2050,1,1,2098,1,1,1966,1,1,1884,1,3,0,1,3,0,1,3,0
cv9144,43.33161000,141.64955000,知来乙,北海道旅客鉄道,札沼線,11,2,1,1,4,1,1,2,1,1,0,1,1,4,1,3,0,1,3,0,1,3,0
cv9145,43.13077000,141.36052000,百合が原,北海道旅客鉄道,札沼線,11,2,1,1,1364,1,1,1456,1,1,1560,1,1,1520,1,3,0,1,3,0,1,3,0
cv9146,43.36649000,141.71365000,豊ヶ岡,北海道旅客鉄道,札沼線,11,2,1,1,0,1,1,0,1,1,0,1,1,0,1,3,0,1,3,0,1,3,0
cv9147,43.48522000,141.84428000,南下徳富,北海道旅客鉄道,札沼線,11,2,1,1,0,1,1,0,1,1,0,1,1,0,1,3,0,1,3,0,1,3,0
cv9148,43.15510000,141.39973000,あいの里教育大,北海道旅客鉄道,札沼線,11,2,1,1,7296,1,1,7592,1,1,7926,1,1,7796,1,1,7478,1,1,7538,1,1,7634
cv9149,43.43050000,141.81697000,浦臼,北海道旅客鉄道,札沼線,11,2,1,1,16,1,1,22,1,1,22,1,1,22,1,3,0,1,3,0,1,3,0
cv9150,43.22238000,141.51468000,石狩当別,北海道旅客鉄道,札沼線,11,2,1,1,4558,1,1,4640,1,1,4796,1,1,4814,1,1,4878,1,1,4914,1,1,4872
cv9151,43.32507000,141.61842000,月ヶ岡,北海道旅客鉄道,札沼線,11,2,1,1,2,1,1,0,1,1,0,1,1,0,1,3,0,1,3,0,1,3,0
cv9152,43.34058000,141.66987000,石狩月形,北海道旅客鉄道,札沼線,11,2,1,1,184,1,1,188,1,1,174,1,1,178,1,1,160,1,1,130,1,1,100
cv9153,43.12376000,141.34865000,太平,北海道旅客鉄道,札沼線,11,2,1,1,1388,1,1,1432,1,1,1552,1,1,1588,1,3,0,1,3,0,1,3,0
cv9154,43.08686000,141.31908000,八軒,北海道旅客鉄道,札沼線,11,2,1,1,4156,1,1,4306,1,1,4486,1,1,4670,1,1,4618,1,1,4628,1,1,4724
cv9155,43.40028000,141.77948000,晩生内,北海道旅客鉄道,札沼線,11,2,1,1,2,1,1,0,1,1,0,1,1,0,1,3,0,1,3,0,1,3,0
cv9156,43.47314000,141.84016000,於札内,北海道旅客鉄道,札沼線,11,2,1,1,0,1,1,0,1,1,0,1,1,0,1,3,0,1,3,0,1,3,0
cv9157,43.11234000,141.33461000,新琴似,北海道旅客鉄道,札沼線,11,2,1,1,6932,1,1,7048,1,1,7328,1,1,7476,1,1,7674,1,1,7936,1,1,8194
